sentence_id	sentence	label
AlMasryAlYoum_10_1	عندما تولى الرئيس عبد الفتاح السيسى السلطة فى ٢٠١٤، كانت لديه أحلامه الكبيرة التى يريد تحقيقها لبلده، ولم يكن يريد تحقيقها وفقط، ولكنه كان يريد تحقيقها بسرعة.	OBJ
MAH_62-curl_01_005	في هذا السياق يشرح عيراني أنّ الخوف لا يقتصر فقط على الإصابة بكوفيد 19، بل يخشى الأطباء من حصول ما يسمى بالعاصفة المناعية cytokine storm، بحيث يفرز جهاز المناعة موادًا مثل interleukin 6 تحدث إلتهابًا في الجسم، وفي هذه الحال يقوم جهاز المناعة بهجوم معاكس على الأنسجة والأعضاء كالرئة والمعدة والكلى وغيرها، ويحاربنا.	OBJ
MIS_676-eurl_02_015	وشكك المدير التنفيذي وعميد مجلس المديرين التنفيذيين لدى البنك الدولي الدكتور ميرزا حسن بالدراسة نافياً أن تكون صادرة ومتبنيَّة من البنك الدولي.	OBJ
MIS_2290-curl_03_018	ﻟﻜﻦ ﻟﻸﺳﻒ ﺍﻟﺮﺻﺎﺻﺔ ﻟﻢ ﺗﺼﺐ ﺃﻣﻪ ﻭ ﺍﺳﺘﻘﺮﺕ ﻓﻲ ﺭأﺱ  رﻭﻧﺎﻟﺪ  ﻭ ﻫﻮ ﻳﻨﺘﺤﺮ.	OBJ
MIS_460-eurl_02_001	الوزارة طالبت بضرورة احترام الإجراءات الوقائية الضرورية لتلافي العدوى داخل الفرق العاملة في تصوير هذه الأعمال الدرامية، كما طلبت عزل كل العاملين كامل مدة عملهم، مع إجراء اختبارات السلامة من فيروس كورونا قبل تصوير الأعمال وبعد الانتهاء منها.	OBJ
MIS_1955-eurl_01_024	نحن نتحدث عن كيان صهيوني كل الناس يعرفون ماذا فعل: اغتصب فلسطين والمسجد الأقصى، وشرد ونفى ملايين الفلسطينيين ومنهم من هم مشردون في وطنهم بمخيمات في غير مدنهم وبلداتهم.	SUBJ
MIS_2585-eurl_01_013	- اعرف مكان أقرب مخرج طوارئ، وعُدّ كم صفا من الكراسي يبعد عنك.	OBJ
MIS_1466-eurl_04_011	تعرضت لضغوطات نفسية كثيرة أثناء جلسات التحقيق الست التي خضعت لها بهدف انتزاع اعترافات مني، ولعل تهديدي بالسجن لفترة طويلة وحرماني من رؤية أطفالي كانت أكثر ما ردده أحد المحققين على مسمعي.	OBJ
AJ_2_12	وقالت أخرى: "كنت هناك للتو، وفجأة حدث لي شيء فظيع. لم يكن من المفترض أن يكون الأمر جنسيًا، لكنه كان كذلك". وأضافت: إنها أحضرت فتيات أخريات في المدرسة الثانوية إلى منزل إبستين بناءً على طلبه.	SUBJ
MIS_191-curl_01_008	وأعلنت السلطات الصينية، اليوم الجمعة، ارتفاع حصيلة الـ.	SUBJ
MIS_2338-eurl_02_003	بثلاثة أوسكارات وبأربع جوائز غولدن غلوب وجائزتي بافتا وجائزة غرامي؛ تبقى عصا المايسترو موريس جار هي العصا الأهم في تاريخ موسيقى الأفلام.	SUBJ
Almayadeen_8_18	هؤلاء الجنود المجهولون في غزة الذين ضحوا بأنفسهم لإنقاذ الآخرين هم الوحيدون الذين يستحقون احترامنا واهتمامنا وعرفاننا بجميلهم. أما الألقاب الرسمية والأساطيل والمراكز العالمية الجوفاء فقد سقط عنها القناع وظهرت حقيقتها البائسة المخجلة.	SUBJ
FAT_866-eurl_05_013	وفي أكتوبر/تشرين الأول الماضي حققت الرابطة فوزا تاريخيا في انتخابات محلية في وسط أومبريا التي بقيت على مدى نصف قرن تحت سيطرة اليسار.	OBJ
MIS_2375-eurl_02_003	ويأتي الانتقال إلى إيران بعد مقتل العالم النووي، محسن فخري زاده، الجمعة الماضي شرقي طهران، وفي ظل تحليق مكثف للطيران الحربي الإسرائيلي فوق بيروت ومحافظات لبنانية عدّة، منذ عدة أيّام.	OBJ
Almayadeen_35_1	مشكلة الغرب اليوم ليست فقط مع الزعيم الروسي أو الصيني أو البرازيلي بل هي مع شعوب آسيا وأفريقيا وأميركا اللاتينية.	OBJ
MIS_339-curl_01_015	أكمل القراءة » - 8 علامات تدل على نقص الحديد لديك - طرق طبيعية للتخلص من السعال والبرد في الشتاء - أثر مقلق لأكثر أدوية تسكين الآلام شيوعًا في العالم!	SUBJ
FAT_1172-eurl_03_015	فحالة انعدام الثقة بحد ذاتها تترتب عليها عواقب كثيرة لأن هناك حدًا للمقدار الذي يمكن أن تتحمله البلاد، قبل أن يعود اللبنانيون إلى الشارع مرة أخرى، للمطالبة بالتغيير.	OBJ
MIS_2094-eurl_01_005	وأشار نائب رئيس أركان الجيش برهان جولا خلال مؤتمر صحافي في العاصمة إلى أنه دخل بلدنا في حرب لم يكن يتوقعها.	SUBJ
MIS_36-curl_01_007	وأضاف الناشط ذاته، قائلا: “التحقق من الهوية يجب أن يسري على الجميع أو على الأقل جميع الأجانب كيفما كان لونهم أو على لا احد وإلا هادشي كيدخل فإطار التمييز الواضح الذي يعاقب عليه القانون.	OBJ
MIS_20-curl_03_008	واستلم عبد الملك، الذي لم يحصل أي دراسة نظامية متقدمة، زمام الأمور في الحركة الحوثية بينما كان في الرابعة والعشرين من عمره بعد مقتل أخيه في 2004.	OBJ
MIS_2361-eurl_01_026	أصدقائي في الوسط الفني «كتار قلال»، أحترم جميع الزملاء ولا مشكلة مع أحد، لكني بذات الوقت لا أحتك بهم كثيراً لقناعتي أن العمل لا يحتمل صداقات.	SUBJ
MIS_1612-eurl_02_012	حتى في هذا الوقت من سواد وحزن ومأساة هذا البلد لم تستطيعوا تخطي حقدكم وكرهكم وتتخلصوا من قذارتكم.	OBJ
FranceENArabe_3_25	هذا وتشن القوات المسلحة الإسرائيلية هجوماً مضاداً ضد حماس – التي تحكم حالياً قطاع غزة – إثر هجماتها ضد إسرائيل في نهاية الأسبوع الماضي. ومنذ ذلك الحين، أودت الحرب بحياة أكثر من 3600 إنسان في إسرائيل وغزة، والرقم في تعاظم كل يوم.	OBJ
MIS_1236-curl_07_001	إطلالة الشيخة موزا تثير الاهتمام بالأسماء: كشف وآلية السفر عبر معبر رفح ليوم غد الأربعاء شاهد.	SUBJ
Almayadeen_40_1	يختلف "المجتمع" الإسرائيلي عن بقية المجتمعات البشرية المعاصرة، سواء بحكم طبيعته المصطنعة، أو بحكم أيديولوجيته السائدة والموجّهة لمجمل تفاعلاته.	OBJ
MIS_2454-eurl_02_011	دول العالم تبدأ إجراءات احترازية عاجلة، حظر للسفر وتوقف رحلات طيران، إغلاق كلي في العديد من الدول وفي عالم مواز في مصر التي يحكمها السيسي تصريحات متضاربة لمسؤولين عن وجود إما ثلاث أو سبع سلالات لكورونا وأكدوا أن مصر خالية من ‎#السلالة_الجديدة.	SUBJ
Almayadeen_23_13	من المفهوم أن رجال السياسة في أغلبية البلدان الرأسمالية هم امتداد لمجتمع الشركات، تماماً كما أن السياسة امتداد للاقتصاد، كما يقول كلاوفتز. وتتأكد هذه الظاهرة في الولايات المتحدة، حيث يتجلى الاقتصاد المتوحش لفلسفة السوق – الغابة:	OBJ
MIS_969-eurl_02_021	وتُوج مع المنتخب ببطولتي كأس الأمم الأفريقية عام 2006 بالقاهرة، وعام 2008 بغانا عندما سجل الهدف التاريخي ضد الكاميرون.	SUBJ
MIS_1665-eurl_01_004	وصرّح مدير أعمالهما شادي المحمادي لـET بالعربي، أن الحفل لم يكن فكرة أنس أو أصالة بل كان مبادرة من شركة إعمار وبرج خليفة أرادوا من خلالها تقديم هذه الهدية المميّزة للثنائي، وقد أمضوا الـ4 أشهر الماضية في التحضير للحفل.	OBJ
FAT_1313-eurl_04_021	وغردت مجلة شارلي إيبدو قائلة: لقد وصل التعصب إلى مستوى جديد ويبدو أنه لن يتوقف عن فرض الإرهاب في بلدنا.	OBJ
MIS_1157-eurl_04_006	ويقول إنه تعرّض في اليوم الأوّل لاعتقاله، لأساليب تعذيب عدة أهمها بطريقة الموزة (إحدى وضعيات التعذيب للأسرى)، فيما كان محقق يجلس فوق رجليه ويهزه بشكل قوي، ومحقق آخر يقترب من رأسه قائلاً: تريد أن تموت؟ أم تتكلم؟.	OBJ
MIS_887-curl_02_005	أكد المحقق أن كل ما يعرفه هو أن معظم الناس سعداء لمعرفة الحقيقة ولا يحملون أي ضغينة ضد الرجل العجوز، وأنا أعتقد أن ممارسة هذا الامر كانت أكثر شيوعا في تلك الأيام	OBJ
MIS_2120-curl_07_018	مولوي يمنع إقامة نشاط للمثليين إضاءة المتحف بألوان العلم اللبناني السعودية تقلب الطاولة على الأرجنتين السعودية تسجل هدف التعادل في مرمى الأرجنتين عن طريق صالح الشهري ماذا بعد توقيع اتفاقية الترسيم البحري مع إسرائيل؟ أهم الأخبار و الفيديوهات في بريدك الالكتروني إشتراك الـ"سياسة"	OBJ
MIS_1861-eurl_02_006	وفي 21 يوليو/ تموز الماضي، عقد الاتحاد الإفريقي قمة مصغرة، بمشاركة الدول الثلاث، عقب نحو أسبوع من انتهاء مفاوضات رعاها الاتحاد لنحو 10 أيام، دون اتفاق، وأسفرت القمة عن الدعوة مجددا إلى عقد مفاوضات ثلاثية جديدة.	OBJ
Almayadeen_6_5	فإقامته في أي دولة يمكن أن تساعد على تخليص المجتمعات الأوروبية من يهود غير مرحب بوجودهم فيها، لكن إقامته في فلسطين تحديداً يمكن أن تساعد في الوقت نفسه على فصل المشرق العربي عن مغربه، ويحول بالتالي دون إقامة دولة عربية كبرى في منطقة استراتيجية حساسة.	SUBJ
Almayadeen_18_71	إنها تصرّ على "شروط" تلبسها لبوس عبارات مثل "الحكم الرشيد"، و"الاقتصاد الحكيم"، و"تحرير التجارة"، وبينما تبدو هذه اللغة مغرية، فإنها خادعة بشكل بغيض. فهذه السياسات "رشيدة" و"حكيمة" فقط إذا نظرت إليها من خلال نوافذ الشركات.	OBJ
MIS_2711-eurl_03_031	وفي أول مؤتمر صحفي تحت رئاسة بايدن، سُئلت المتحدثة باسم البيت الأبيض، جين بساكي، عما إذا كانت أولويتها الترويج لمصالح الرئيس أم تقديم الحقيقة الخالصة.	SUBJ
