sentence_id	sentence	label
b678f74b-3981-4ad9-93b3-4c549605a02c	Учителите, за които цяла България разбра, са Силвия Зубева и Асен Александров.	OBJ
ea65624a-da34-4bc4-8085-edb93d2e30e1	А ако намерите каска е още по-добре.	SUBJ
fd709ed2-8c81-4130-b2a3-857083eb4821	През октомври 1994г. учените от ,,Air Force" успели да предават фрази с пределна разбираемост в главите на хората.	OBJ
1cfc5cf2-ebd2-4db8-86ed-38673b2858fc	Аз обаче вече бях обещала, че ще летя до Алжир с правителствена делегация по случай дните на българската култура там, и по никакъв начин не можех да се отметна от думата си.	OBJ
a56a980c-2bdf-4da5-8b1f-e8cef1e4305c	Ама знаете ли защо те си купиха тировете обратно?! – Оказа се, че таксата за регистрация на нов тир в Турция е по-висока, отколкото самия камион.	SUBJ
a6d13b4a-c383-482e-904d-f337d932c581	А ако аз се бях подхлъзнал на тяхно място?	SUBJ
550e61fe-1913-4024-8023-1768731bfc40	Първият ми постинг в Блог. бг преди 8 години бе за Искърският пролом.	OBJ
cdcd08ce-6045-45b5-ba03-5c8e2f377a56	Земната ми памет е кратка.	OBJ
80e95158-02fe-4417-a582-f4946999a43d	На 7 април (шести по вашингтонско време) стана абсолютно, кристално ясно, че кръстоносният поход на Доналд Тръмпа срещу вашингтонския истаблишмънт претърпя пълен провал.	SUBJ
c0c493c9-ace9-41dd-a2fb-f3e703d290ff	2354: Инцидент с изкуственото слънце ще доведе до суша.	SUBJ
5e07537b-feb4-4fdf-b478-8861b9b1d9ba	И французите го знаят.	OBJ
bcd4d9a8-762f-44b9-b79a-43f58c8de62d	Без да я карат, и без тя да иска започнала да разказва за заболяването му – базедова болест.	OBJ
67baab0f-4db5-40e3-9f54-270503747e1b	Хайде да започнем с проблемите:26-то място по средна брутна заплата в страната, общественият сектор 835, частният – 622 лева.	SUBJ
83bd7e01-aea7-455d-85ba-abbffa302927	Нострадамус Нострадамус вижда конфликта между Русия и Украйна да приключи с подписването на споразумение.	OBJ
ca2f83a6-e26e-4332-a947-5b75294f25ce	Едва ли би могло да бъде и иначе, защото феноменката е била абсолютно неграмотна и несведуща по много въпроси.	SUBJ
e0600a7f-a2fc-4a88-ada5-68257a9866d3	Почти будоарно прозвучаха имейлите и sms-те между премиера и Ребека Брукс, разкрити тези дни пред следствената комисия на върховния съдия Левисън.	SUBJ
66555474-e1ae-4334-b062-0e605b572dad	На 1 януари 2016 година това наистина щеше да е върховна форма на лудост.	SUBJ
944afcce-35c1-4483-8948-300cdf4daccb	На другия ден монахът тръгнал по морските вълни като по суша и взел иконата.	SUBJ
601d7b29-421c-4e8a-a628-ff93628cb87f	Лекувах се, като пиех по 3 литра вода на ден, а също така вземах 3-4 пъти на ден витамин С и консумирах много плодове – никакви антибиотици.	OBJ
9be16efd-bf84-4860-b7a4-ebbd7e6ab815	Тогава системата не приемаше откази.	OBJ
72c8a25d-4b1f-4bd6-9677-1e80f8ffdd32	Мисля, че филмчето за Вайша до голяма степен отразява манталитета на българина и трудно може да бъде възприето от чужденците, които са по-оптимистично настроени към бъдещето.	SUBJ
44431289-5467-49f5-939f-8a35a1b9946b	Младите ще забегнат, старите ще измрат.	SUBJ
3c58538b-a46a-45c6-9c0f-94a1496262f0	Те не съдържат никаква покана за участие или за даване на нови идеи й мнения.	SUBJ
a05e505e-a87e-45ae-bfbd-f58af58272b9	"Властта не е най-важното, хората ще съдят по нас от това, какво сме направили, а не колко министерски кресла имаме", посочи Симеонов.	OBJ
381da58c-e777-4711-9f22-33291a70d1f1	Той заявил: "Обявявам за шуробаджанашки капитализъм,[15] когато взимате пари от успешни малки предприятия, харчите ги във Вашингтон за ваши предпочитани отрасли или любими индивиди, подбирайки печелещите и губещите в икономиката.	OBJ
cc9d09a2-f8ac-49f8-a6f4-6e3c0b388ea1	Те осъзнаха, че западните политици могат да бъдат подкупени, че изнасянето на капитал извън страната работи в полза на олигарсите, че антикорупционните закони не се прилагат добре, че западните медии са слаби и че социалните медии са подкопали доверието в традиционните източници на авторитет.	SUBJ
63895c28-19c1-4315-b9c3-ea51e8bfb0e9	Там се казва, че от ГЕРБ ще работят за това семействата да имат до три деца.	OBJ
f99af244-47bd-4ae7-8486-e693fd09301f	Сатанинският култ е шаблон, който управлява промяната.	SUBJ
10900a15-6b33-42bc-b27a-9a678fbea7e2	Нашата цивилизация е толкова задръстила земята ни, затова скоро ние ще бъдем безсилни да променим това.	SUBJ
185861b5-2131-48ce-a624-9254ea8f611e	Като, например, изведнъж изцяло да прегърне идеята на Слави Трифонов за 100- процентов мажоритарен избор.	OBJ
a3ea661c-c30f-41a5-a66d-67a235aa2b5d	И Виктор Орбан не се страхува да говори това – на фона на гробовното (в съвсем буквален смисъл) мълчание по този въпрос от страна на лигаво-мазните еврочиновници от Брюксел.	SUBJ
fb96c41b-9a24-44a1-9b79-26de900ba43f	Изучавайте нейния език и нейните закони и ги спазвайте, за да живеете по-дълго и по-добре.	SUBJ
7d64f51c-384d-4d26-9bd5-95241a2ff4e6	Нощ няма да има.	SUBJ
60630193-5a8e-4ddd-9760-e306b0aa86e3	Нещо ще ти се даде.	SUBJ
38e4cca3-dd77-4c90-bb90-b04a699e9b1d	Затова не бива да се обвинява Светата инквизиция; тя защитавала интересите на църквата и християнството; инквизицията и други силови структури на църквата винаги преследвала интересите на скрития от чужди очи храм на Сет- Амон.	SUBJ
11d1f52d-fe21-4c2c-9566-4927d016446e	Според закона има някои изключения и купуването на корпорация е едно от тях.	OBJ
354df2e0-139d-4ccb-ad27-d5cd03bac3dd	7. Първите данни за радиоактивно замърсяване, получени от Финландия и Норвегия, са от 9 януари.	OBJ
e864e3eb-ffea-4e5e-b4c3-bc03d35e3d7f	"Това нейното не беше живот – всеки ден имаше болка" – разказва Мурджев.	OBJ
bb778e4b-b5e2-4015-a9af-6ee12f90bd76	Според Костов машините трябва да бъдат наблюдавани през цялото време от поне трима човеци, за да не си позволят да хитруват, а паралелно гласуване с хартиени бюлетини да гарантира обективността на изборите.	OBJ
b108e264-82bc-4fe1-b046-85ab903e0018	Нещо, което е наистина впечатляващо.	SUBJ
d818abd4-b845-4209-b8ff-5a543681164c	Аз се опитвам да защитя принципите, в които вярвам, а именно оцеляването на семейството ми и на човешкия род, без да бъде манипулиран и контролиран.	SUBJ
b9f9c133-3df5-4844-b164-2fa09f1f808d	Всъщност държавата Волжка България е създадена през 660 г. от хан Котраг, вторият син на великия хан Кубрат, който изгражда своята за чудо и приказ столица – почти непристъпната крепост Велики Болгар…	SUBJ
1130d5a5-d865-4976-8e66-53255d4846ef	Един ден просто ми дойде изведнъж – след като бях правел изследвания в продължение на седмици, месеци и над една година – млякото е проблемът, глупчо!	OBJ
530b7f3c-0657-4162-aaee-7be184927c74	2,5 процента за въоръжаване,а?	SUBJ
e9a7c95d-fe73-4719-a9e0-bb639e9792a1	Гадателката дошла в столицата по заръка на дъщерята на комунистическия лидер.	OBJ
1b2dc8ad-dc32-4b3c-b1a1-251146ae15e0	Ще отнеме години, ако не и десетилетия, на изтощителна борба, по време на която страните ще спрат да се развиват, а хората ще страдат.	SUBJ
77751ac8-d043-408e-a237-2a405fb2ee8e	Пие се по 1 малка в.ч., 3 пъти на ден, 30 минути преди хранене.	OBJ
12a6bec7-e2f9-4635-bb5b-7a654861d90b	На 23 август 2013 г. "Риск Инженеринг – Д" получава заем в размер на 11 млн. евро от КТБ за закупуване на 20% от дяловото участие в "Рубин Инвест" от "Витро Инвест"	OBJ
88cb1b07-5d31-4995-8bed-2481f7a70735	Малко след като се роди, астролози пък установиха, че Бойко-младши е астрален близнак на великата пророчица Ванга – роден е на нейната дата (31 януари).	OBJ
69932d53-d10c-48cf-955a-4134b9e77be2	Контролът върху акциите на Михаил Ходорковски в "Юкос" беше прехвърлен върху лорд Якоб Ротшилд.	OBJ
